sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
馬公,澎湖縣,30,,良好,0.3,0.09,18,23.3,30,11,1.8,2.6,0.8,5.2,28,2023/05/29 23:00:00,0.1,9,26,0,119.566158,23.569031,78
關山,臺東縣,21,,良好,0.6,0.16,16,21.2,23,7,1.8,2.4,0.6,3.7,21,2023/05/29 23:00:00,0.1,6,19,0,121.161933,23.045083,80
麥寮,雲林縣,48,,良好,1.1,0.14,12.4,30.2,44,10,5.3,5.9,0.6,0.5,3,2023/05/29 23:00:00,0.1,14,44,1,120.251825,23.753506,83
富貴角,新北市,32,,良好,0.3,0.06,16.6,16.8,32,4,1.5,1.4,0,3.6,69,2023/05/29 23:00:00,0,5,32,0,121.53656894,25.29681695,84
大城,彰化縣,47,,良好,0.5,0.13,16.1,28.1,58,14,5.6,7,1.3,0.3,224,2023/05/29 23:00:00,0.1,14,44,1,120.26964167,23.85493056,85
彰化(員林),彰化縣,84,細懸浮微粒,普通,2.1,0.34,37.4,42.5,55,29,8.5,9.4,0.9,0.3,108,2023/05/29 23:00:00,0.3,28,56,2,120.56373,23.96117,201
高雄(湖內),高雄市,46,,良好,1.4,0.23,27.2,38.3,25,18,11.4,12.7,1.3,0.7,74,2023/05/29 23:00:00,0.1,14,29,1,120.24535,22.87985556,202
臺南(麻豆),臺南市,42,,良好,0.2,0.18,27.4,41.1,38,15,8.8,9.4,0.5,0.9,355,2023/05/29 23:00:00,0.1,12,35,0,120.24583056,23.17904722,203
屏東(琉球),屏東縣,44,,良好,0.8,0.08,37.9,38.6,25,13,1.4,2,0.5,1.2,319,2023/05/29 23:00:00,0.1,13,26,1,120.37722,22.35222,204
桃園(三民),桃園市,23,,良好,1.3,0.22,18.4,18.9,25,7,4.1,5.1,1,1.5,65,2023/05/29 23:00:00,0.2,7,21,0,121.31788148,25.00132736,310
新北(樹林),新北市,27,,良好,0.1,0.26,12.1,12.1,16,9,8.7,14.3,5.5,0.1,152,2023/05/29 23:00:00,0.2,8,17,0,121.38352778,24.94902778,311
屏東(枋山),屏東縣,43,,良好,0.3,0.09,38.8,43.2,35,12,2.5,2.6,0.1,1.6,345,2023/05/29 23:00:00,0,13,34,0,120.651472,22.260899,313
